STORM NAME,LANDFALL DATE,DAMAGE RANK,CURRENT DAMAGE ($ 2020),BASE DAMAGE ($),LANDFALL STATE,CATEGORY,WINDS(MPH)
Storm 2 in 1940,"Aug 07,1940",118,"1,370,000,000","9,000,000",TX,2,105
Georges,"Sep 25,1998",119,"1,200,000,000","680,000,000",FL,2,105
Erin,"Aug 02,1995",120,"1,190,000,000","350,000,000",FL,1,85
Gladys,"Oct 18,1968",121,"1,170,000,000","6,700,000",FL,2,105
Storm 8 in 1948,"Oct 05,1948",122,"1,150,000,000","5,500,000",FL,2,105
Isbell,"Oct 14,1964",124,"1,120,000,000","10,000,000",FL,2,105
Alma,"Jun 09,1966",123,"1,120,000,000","10,050,000",FL,2,105
Donna,"Sep 14,1960",125,"1,100,000,000","30,000,000",NY,3,120
Frances,"Sep 13,1998",126,"1,090,000,000","500,000,000",TX,TS,50
Erin,"Aug 03,1995",127,"1,050,000,000","350,000,000",FL,2,100
Storm 2 in 1920,"Sep 21,1920",128,"1,020,000,000","1,450,000",LA,2,100
Bertha,"Jul 12,1996",129,"1,020,000,000","270,000,000",NC,2,105
Storm 13 in 1936,"Sep 18,1936",130,"940,000,000","1,600,000",NC,1,85
Storm 4 in 1901,"Aug 14,1901",131,"830,000,000","1,000,000",LA,1,85
Fay,"Aug 19,2008",132,"830,000,000","560,000,000",FL,TS,65
Helene,"Sep 27,1958",133,"740,000,000","11,200,000",NC,3,120
Ernesto,"Aug 29,2006",134,"740,000,000","500,000,000",FL,TS,45
Belle,"Aug 09,1976",135,"720,000,000","100,000,000",NY,1,85
Storm 2 in 1934,"Jun 16,1934",137,"710,000,000","2,605,000",LA,2,98
Gracie,"Sep 29,1959",136,"710,000,000","14,000,000",SC,3,120
Debbie,"Sep 30,1965",138,"700,000,000","25,000,000",MS,TS,35
Fern,"Sep 10,1971",139,"690,000,000","30,230,000",TX,1,85
Gloria,"Sep 26,1985",140,"660,000,000","100,000,000",NC,3,120
Storm 2 in 1904,"Sep 14,1904",141,"640,000,000","1,000,000",SC,1,80
Storm 3 in 1934,"Jul 25,1934",142,"640,000,000","1,500,000",TX,1,85
Isidore,"Sep 26,2002",143,"630,000,000","330,000,000",LA,TS,65
Debra,"Jul 25,1959",145,"620,000,000","7,000,000",TX,1,85
Diana,"Sep 13,1984",144,"620,000,000","65,000,000",NC,2,110
Josephine,"Oct 07,1996",147,"610,000,000","130,000,000",FL,TS,70
Hermine,"Sep 02,2016",146,"610,000,000","550,000,000",FL,1,80
Storm 2 in 1919,"Sep 09,1919",148,"600,000,000","2,000,000",FL,4,150
Gabrielle,"Sep 14,2001",149,"570,000,000","230,000,000",FL,TS,70
Storm 3 in 1944,"Aug 01,1944",150,"520,000,000","2,000,000",NC,1,85
Brenda,"Jul 28,1960",151,"500,000,000","5,000,000",FL,TS,35
Delia,"Sep 04,1973",152,"480,000,000","18,000,000",TX,TS,65
Storm 3 in 1911,"Aug 28,1911",155,"420,000,000","1,000,000",SC,2,100
Storm 1 in 1918,"Aug 06,1918",154,"420,000,000","5,000,000",LA,3,120
Cindy,"Jul 05,2005",153,"420,000,000","320,000,000",LA,1,75
Cindy,"Sep 17,1963",156,"410,000,000","12,560,000",TX,1,85
Chantal,"Aug 01,1989",158,"390,000,000","100,000,000",TX,1,80
Dennis,"Sep 04,1999",157,"390,000,000","157,000,000",NC,TS,70
Esther,"Sep 21,1961",160,"380,000,000","6,000,000",MA,TS,45
Edith,"Sep 16,1971",159,"380,000,000","25,000,000",LA,2,105
Hermine,"Sep 06,2010",161,"370,000,000","240,000,000",TX,TS,70
Storm 1 in 1934,"May 27,1934",162,"350,000,000","155,000",FL,TS,45
Storm 8 in 1947,"Oct 15,1947",163,"350,000,000","3,000,000",GA,2,105
Claudette,"Jul 15,2003",165,"330,000,000","180,000,000",TX,1,90
Labor Day,"Sep 04,1935",164,"330,000,000","1,000,000",FL,1,85
Jerry,"Oct 15,1989",166,"320,000,000","70,000,000",TX,1,85
Gilbert,"Sep 16,1988",167,"290,000,000","50,000,000",TX,TS,70
Marco,"Oct 11,1990",168,"290,000,000","57,000,000",FL,TS,35
Storm 1 in 1942,"Aug 21,1942",170,"280,000,000","601,000",TX,1,85
Amelia,"Jul 30,1978",169,"280,000,000","20,000,000",TX,TS,50
Ginger,"Sep 30,1971",171,"270,000,000","10,000,000",NC,1,85
Danny,"Jul 19,1997",173,"270,000,000","100,000,000",LA,1,80
Hanna,"Sep 06,2008",172,"270,000,000","160,000,000",SC,TS,70
Beryl,"Aug 15,1994",174,"250,000,000","73,000,000",FL,TS,60
Gaston,"Aug 29,2004",175,"240,000,000","130,000,000",SC,1,75
Nate,"Oct 08,2017",176,"230,000,000","225,000,000",MS,1,75
Earl,"Sep 02,1998",177,"220,000,000","79,000,000",FL,1,80
Storm 2 in 1929,"Sep 30,1929",178,"220,000,000","200,000",FL,1,75
Storm 5 in 1941,"Oct 06,1941",180,"210,000,000","337,500",FL,2,105
Able,"Aug 30,1952",179,"210,000,000","2,750,000",SC,1,85
Dennis,"Aug 17,1981",181,"210,000,000","25,000,000",FL,TS,40
Danny,"Aug 15,1985",182,"200,000,000","50,000,000",LA,1,90
Storm 3 in 1936,"Jun 27,1936",183,"190,000,000","550,000",TX,1,85
Bob,"Jul 25,1985",184,"190,000,000","20,000,000",SC,1,75
Charley,"Aug 14,2004",185,"190,000,000","90,000,000",SC,1,80
Subtrop 1 1974,"Jun 25,1974",186,"180,000,000","10,000,000",FL,TS,65
Storm 2 in 1929,"Sep 28,1929",187,"170,000,000","100,000",FL,3,105
Jerry,"Aug 23,1995",189,"150,000,000","40,600,000",FL,TS,40
Mitch,"Nov 05,1998",188,"150,000,000","40,000,000",FL,TS,65
Not Named 1959,"Jun 18,1959",192,"130,000,000","1,656,000",FL,TS,35
Not Named 1960,"Jun 23,1960",193,"130,000,000","3,600,000",TX,TS,40
Emily,"Aug 31,1993",191,"130,000,000","35,000,000",NC,3,115
Ophelia,"Sep 15,2005",190,"130,000,000","70,000,000",NC,1,75
Inez,"Oct 04,1966",196,"120,000,000","5,000,000",FL,1,85
Charley,"Aug 22,1998",194,"120,000,000","50,000,000",TX,TS,45
Bret,"Aug 22,1999",195,"120,000,000","60,000,000",TX,3,115
Storm 1 in 1929,"Jun 28,1929",197,"110,000,000","675,000",TX,1,80
Storm 5 in 1936,"Jul 31,1936",199,"110,000,000","123,000",FL,2,105
Elena,"Sep 01,1979",198,"110,000,000","10,000,000",TX,TS,40
Storm 5 in 1941,"Oct 07,1941",200,"100,000,000","337,500",FL,2,105
Bill,"Jun 30,2003",201,"95,000,000","50,000,000",LA,TS,60
Bob,"Jul 11,1979",202,"90,000,000","20,000,000",LA,1,85
Babe,"Sep 05,1977",203,"88,000,000","10,000,000",LA,1,85
Subtrop 1 1982,"Jun 18,1982",204,"84,000,000","10,000,000",FL,TS,45
Charley,"Aug 17,1986",205,"79,000,000","15,000,000",NC,1,75
Barbara,"Aug 13,1953",206,"78,000,000","1,000,000",NC,1,85
Esther,"Sep 18,1957",207,"73,000,000","1,500,000",LA,TS,50
Barry,"Aug 05,2001",208,"67,000,000","30,000,000",FL,TS,70
Candy,"Jun 23,1968",209,"65,000,000","3,000,000",TX,TS,85
Humberto,"Sep 13,2007",210,"63,000,000","50,000,000",TX,1,90
Arlene,"Jun 20,1993",211,"60,000,000","22,000,000",TX,TS,40
Alma,"Aug 28,1962",212,"58,000,000","1,000,000",NC,TS,40
Abby,"Jun 04,1968",213,"56,000,000","450,000",FL,TS,70
Storm 3 in 1947,"Aug 24,1947",214,"47,000,000","200,000",TX,1,85
Abby,"Aug 07,1964",215,"46,000,000","750,000",TX,TS,65
Storm 6 in 1947,"Sep 23,1947",216,"45,000,000","100,000",FL,TS,60
Ethel,"Sep 15,1960",217,"45,000,000","1,060,000",MS,1,85
Storm 5 in 1948,"Sep 04,1948",218,"44,000,000","900,000",LA,1,85
Carol,"Aug 30,1954",219,"42,000,000","227,500",NC,2,105
Carrie,"Sep 04,1972",220,"39,000,000","1,780,000",MA,TS,60
Helene,"Sep 25,2000",221,"38,000,000","16,000,000",FL,TS,40
Hanna,"Sep 14,2002",222,"38,000,000","20,000,000",MS,TS,60
Harvey,"Sep 21,1999",223,"37,000,000","15,000,000",FL,TS,60
Daisy,"Oct 07,1962",224,"32,000,000","1,100,000",ME,TS,60
Storm 2 in 1938,"Aug 14,1938",225,"31,000,000","245,000",LA,1,85
Gordon,"Sep 17,2000",226,"29,000,000","10,800,000",FL,TS,65
Unnamed,"Aug 10,1987",227,"27,000,000","7,400,000",TX,TS,45
Storm 7 in 1947,"Oct 06,1947",229,"22,000,000","100,000",FL,TS,45
Earl,"Sep 02,2010",228,"22,000,000","18,000,000",NC,TS,70
Florence,"Sep 26,1953",230,"21,000,000","200,000",FL,1,85
Keith,"Nov 23,1988",231,"16,000,000","3,000,000",FL,TS,65
Arlene,"May 30,1959",233,"15,000,000","500,000",LA,TS,45
Alex,"Jun 30,2010",232,"15,000,000","10,000,000",TX,TS,70
Kyle,"Oct 11,2002",234,"11,000,000","5,000,000",SC,TS,40
Isidore,"Sep 27,1984",235,"8,000,000","1,000,000",FL,TS,60
Fay,"Sep 07,2002",236,"8,000,000","4,500,000",TX,TS,60
Bonnie,"Jun 26,1986",239,"7,000,000","2,000,000",TX,1,85
Allison,"Jun 05,1995",240,"7,000,000","1,700,000",FL,TS,70
Alex,"Aug 03,2004",238,"7,000,000","4,000,000",NC,1,80
Arthur,"Jul 04,2014",237,"7,000,000","6,000,000",NC,2,100
Chris,"Sep 11,1982",242,"3,000,000","2,000,000",LA,TS,65
Beryl,"Aug 09,1988",241,"3,000,000","3,000,000",LA,TS,50
Chris,"Aug 28,1988",243,"3,000,000","500,000",GA,TS,45
Florence,"Sep 09,1988",244,"2,000,000","2,920,000",LA,1,80
Dean,"Jul 30,1995",245,"2,000,000","500,000",TX,TS,45
Floyd,"Oct 12,1987",246,"1,000,000","500,000",FL,1,75
Gustav,"Sep 10,2002",247,0,"100,000",NC,TS,65
Storm 3 in 1903,"Sep 13,1903",248,0,0,FL,1,90
